kernel,count,total_us,avg_us,pct
aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_32x384,992,2367461,2386.6,25.7
ck::kernel_moe_gemm<ck::GridwiseMoeGemmBlockScale<ck::tensor_layout::gemm::RowMa,35885,1936921,54.0,21.0
ck::kernel_gemm_xdl_cshuffle_v3_multi_d_blockscale_b_preshuffle<ck::GridwiseGemm,37808,1167301,30.9,12.7
aiter::pa_bf16_pertokenFp8_gqa8_2tg_4w,17943,773006,43.1,8.4
aiter::fmha_fwd_hd128_bf16_causal_group,992,646306,651.5,7.0
_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EEEvPT0_PfPKT_PKfi,74748,451108,6.0,4.9
"aiter::mix_sample_outer_exponential_kernel<std::bfloat16_t, 1024, 64, 4, true>(s",311,274062,881.2,3.0
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, true,",37869,262566,6.9,2.8
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT16x16x64_MI16x16x1_SN_LDSB0_AFC0_AFE,17943,217863,12.1,2.4
"ck_tile::kentry<2, ck_tile::MoeSortingKernel<ck_tile::MoeSortingProblemEx<int, f",17943,148468,8.3,1.6
_ZN5aiter45reshape_and_cache_with_per_token_quant_kernelIDF16bDB8_fLb1ELi64EEEvP,18935,135395,7.2,1.5
"aiter::grouped_topk_kernel<float, float __vector(4), 1, true, true, false>(float",18935,133058,7.0,1.4
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_1,18935,132084,7.0,1.4
"aiter::kn_entry_2c_sbhd_cached_indirect_inplace<aiter::OpCachedFwd, 0, true, fal",18935,130727,6.9,1.4
triton_poi_fused__to_copy_0,18935,121876,6.4,1.3
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_2,18935,108305,5.7,1.2
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT128x64x64_MI16x16x1_SN_LDSB1_AFC0_AF,620,57850,93.3,0.6
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x512_MI16x16x1_SN_LDSB1_AFC0,259,48222,186.2,0.5
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT32x224x64_MI16x16x1_SN_LDSB1_AFC0_AF,310,26215,84.6,0.3
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingPr",992,18527,18.7,0.2
_ZN7ck_tile6kentryINS_11kernel_attrILb1EEELi1ENS_15QuantGemmKernelINS_21GemmTile,62,17474,281.8,0.2
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT128x128x64_MI16x16x1_SN_LDSB1_AFC0_A,62,12313,198.6,0.1
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x256_MI16x16x1_SN_LDSB1_AFC0,46,8835,192.1,0.1
"ck_tile::kentry<2, ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingCl",992,5453,5.5,0.1
"ck_tile::kentry<256, ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSorti",992,5445,5.5,0.1
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingPro",992,5326,5.4,0.1
triton_poi_fused_embedding_0,310,1957,6.3,0.0
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, false",310,1879,6.1,0.0
__amd_rocclr_copyBuffer,289,1716,5.9,0.0
kv_indices_generate_kernel,294,1573,5.4,0.0
"at::native::_scatter_gather_elementwise_kernel<256, 4, at::native::_cuda_scatter",35,155,4.4,0.0
"at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl",16,90,5.6,0.0
"at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, ",16,87,5.5,0.0
"at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::na",15,85,5.7,0.0
"at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, l",1,5,5.4,0.0
