kernel,count,total_us,avg_us,pct
aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_32x384,1736,1681143,968.4,16.2
ck::kernel_moe_gemm<ck::GridwiseMoeGemmBlockScale<ck::tensor_layout::gemm::RowMa,19984,1435573,71.8,13.8
ck::kernel_gemm_xdl_cshuffle_v3_multi_d_blockscale_b_preshuffle<ck::GridwiseGemm,23414,1205101,51.5,11.6
_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EEEvPT0_PfPKT_PKfi,45196,1076370,23.8,10.4
"aiter::mix_sample_outer_exponential_kernel<std::bfloat16_t, 1024, 64, 4, true>(s",199,971953,4884.2,9.4
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, true,",23466,554141,23.6,5.3
aiter::fmha_fwd_hd128_bf16_causal_group,1736,290999,167.6,2.8
"aiter::grouped_topk_kernel<float, float __vector(4), 1, true, true, false>(float",11733,285554,24.3,2.8
_ZN5aiter45reshape_and_cache_with_per_token_quant_kernelIDF16bDB8_fLb1ELi64EEEvP,11738,281905,24.0,2.7
"aiter::kn_entry_2c_sbhd_cached_indirect_inplace<aiter::OpCachedFwd, 0, true, fal",11738,278539,23.7,2.7
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_1,11738,278032,23.7,2.7
triton_poi_fused__to_copy_0,11738,274440,23.4,2.6
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_2,11738,270910,23.1,2.6
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT32x32x256_MI16x16x1_SN_LDSB1_AFC0_AF,1302,232463,178.5,2.2
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingPr",1736,220337,126.9,2.1
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P0_v2<ck_tile::MoeSorting",1612,215301,133.6,2.1
triton_poi_fused_embedding_0,199,207259,1041.5,2.0
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, false",199,207176,1041.1,2.0
aiter::pa_bf16_pertokenFp8_gqa8_2tg_4w,10002,110975,11.1,1.1
"ck_tile::kentry<2, ck_tile::MoeSortingKernel<ck_tile::MoeSortingProblemEx<int, f",9997,99436,9.9,1.0
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT16x16x512_MI16x16x1_SN_LDSB1_AFC0_AF,7522,91255,12.1,0.9
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT16x16x64_MI16x16x1_SN_LDSB0_AFC0_AFE,2480,30146,12.2,0.3
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x16x512_MI16x16x1_SN_LDSB1_AFC0,122,23336,191.3,0.2
_ZN7ck_tile6kentryINS_11kernel_attrILb1EEELi1ENS_15QuantGemmKernelINS_21GemmTile,62,16162,260.7,0.2
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x256_MI16x16x1_SN_LDSB1_AFC0,61,11717,192.1,0.1
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT64x224x64_MI16x16x1_SN_LDSB1_AFC0_AF,62,10046,162.0,0.1
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT64x32x128_MI16x16x1_SN_LDSB1_AFC0_AF,310,9079,29.3,0.1
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT64x64x128_MI16x16x1_SN_LDSB1_AFC0_AF,62,3096,49.9,0.0
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x512_MI16x16x1_SN_LDSB1_AFC0,6,1118,186.4,0.0
__amd_rocclr_copyBuffer,161,888,5.5,0.0
kv_indices_generate_kernel,171,880,5.1,0.0
"ck_tile::kentry<256, ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSorti",124,759,6.1,0.0
"ck_tile::kentry<2, ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingCl",124,756,6.1,0.0
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingPro",124,680,5.5,0.0
"at::native::_scatter_gather_elementwise_kernel<256, 4, at::native::_cuda_scatter",40,178,4.4,0.0
"at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl",28,158,5.7,0.0
"at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, ",28,152,5.4,0.0
"at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::na",21,123,5.9,0.0
"at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, l",7,39,5.6,0.0
