kernel,count,total_us,avg_us,pct
ck::kernel_moe_gemm<ck::GridwiseMoeGemmBlockScale<ck::tensor_layout::gemm::RowMa,1612,117016,72.6,50.4
ck::kernel_gemm_xdl_cshuffle_v3_multi_d_blockscale_b_preshuffle<ck::GridwiseGemm,1612,29445,18.3,12.7
_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EEEvPT0_PfPKT_PKfi,3224,17952,5.6,7.7
aiter::pa_bf16_pertokenFp8_gqa8_2tg_4w,806,9380,11.6,4.0
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, true,",1612,9140,5.7,3.9
"ck_tile::kentry<2, ck_tile::MoeSortingKernel<ck_tile::MoeSortingProblemEx<int, f",620,5621,9.1,2.4
"aiter::grouped_topk_kernel<float, float __vector(4), 1, true, true, false>(float",806,5306,6.6,2.3
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT16x16x64_MI16x16x1_SN_LDSB0_AFC0_AFE,434,5291,12.2,2.3
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_1,806,4612,5.7,2.0
triton_poi_fused__to_copy_0,806,4550,5.6,2.0
"aiter::kn_entry_2c_sbhd_cached_indirect_inplace<aiter::OpCachedFwd, 0, true, fal",806,4537,5.6,2.0
_ZN5aiter45reshape_and_cache_with_per_token_quant_kernelIDF16bDB8_fLb1ELi64EEEvP,806,4532,5.6,2.0
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT16x16x512_MI16x16x1_SN_LDSB1_AFC0_AF,372,4504,12.1,1.9
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_2,806,4446,5.5,1.9
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingPr",186,1069,5.7,0.5
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P0_v2<ck_tile::MoeSorting",186,1052,5.7,0.5
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x512_MI16x16x1_SN_LDSB1_AFC0,4,747,186.8,0.3
"aiter::mix_sample_outer_exponential_kernel<std::bfloat16_t, 1024, 64, 4, true>(s",14,705,50.4,0.3
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x16x512_MI16x16x1_SN_LDSB1_AFC0,3,616,205.4,0.3
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT160x32x128_MI16x16x1_SN_LDSB1_AFC,3,610,203.5,0.3
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x256_MI16x16x1_SN_LDSB1_AFC0,3,580,193.3,0.2
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, false",13,74,5.7,0.0
__amd_rocclr_copyBuffer,13,72,5.5,0.0
triton_poi_fused_embedding_0,13,70,5.4,0.0
kv_indices_generate_kernel,13,65,5.0,0.0
"at::native::_scatter_gather_elementwise_kernel<256, 4, at::native::_cuda_scatter",8,34,4.3,0.0
