kernel,count,total_us,avg_us,pct
ck::kernel_moe_gemm<ck::GridwiseMoeGemmBlockScale<ck::tensor_layout::gemm::RowMa,71796,2538905,35.4,29.4
aiter::pa_bf16_pertokenFp8_gqa8_2tg_4w,35898,1471075,41.0,17.0
ck::kernel_gemm_xdl_cshuffle_v3_multi_d_blockscale_b_preshuffle<ck::GridwiseGemm,71796,1333934,18.6,15.4
_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EEEvPT0_PfPKT_PKfi,143592,787283,5.5,9.1
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT16x16x64_MI16x16x1_SN_LDSB0_AFC0_AFE,35898,436151,12.1,5.0
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, true,",71796,402136,5.6,4.6
"ck_tile::kentry<2, ck_tile::MoeSortingKernel<ck_tile::MoeSortingProblemEx<int, f",35898,288398,8.0,3.3
"aiter::grouped_topk_kernel<float, float __vector(4), 1, true, true, false>(float",35898,239229,6.7,2.8
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_1,35898,203455,5.7,2.4
"aiter::kn_entry_2c_sbhd_cached_indirect_inplace<aiter::OpCachedFwd, 0, true, fal",35898,200707,5.6,2.3
triton_poi_fused__to_copy_0,35898,200340,5.6,2.3
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_2,35898,199957,5.6,2.3
_ZN5aiter45reshape_and_cache_with_per_token_quant_kernelIDF16bDB8_fLb1ELi64EEEvP,35898,198991,5.5,2.3
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x512_MI16x16x1_SN_LDSB1_AFC0,517,95691,185.1,1.1
"aiter::mix_sample_outer_exponential_kernel<std::bfloat16_t, 1024, 64, 4, true>(s",580,29437,50.8,0.3
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x256_MI16x16x1_SN_LDSB1_AFC0,62,11911,192.1,0.1
__amd_rocclr_copyBuffer,579,3186,5.5,0.0
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, false",579,3173,5.5,0.0
triton_poi_fused_embedding_0,579,2708,4.7,0.0
kv_indices_generate_kernel,579,2680,4.6,0.0
"at::native::_scatter_gather_elementwise_kernel<256, 4, at::native::_cuda_scatter",36,162,4.5,0.0
