kernel,count,total_us,avg_us,pct
ck::kernel_moe_gemm<ck::GridwiseMoeGemmBlockScale<ck::tensor_layout::gemm::RowMa,4712,166278,35.3,24.7
aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_32x384,186,126205,678.5,18.8
ck::kernel_gemm_xdl_cshuffle_v3_multi_d_blockscale_b_preshuffle<ck::GridwiseGemm,5084,106631,21.0,15.8
_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EEEvPT0_PfPKT_PKfi,9982,56139,5.6,8.3
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, true,",5084,29462,5.8,4.4
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT16x16x64_MI16x16x1_SN_LDSB0_AFC0_AFE,2356,28870,12.3,4.3
aiter::pa_bf16_pertokenFp8_gqa8_2tg_4w,2356,24222,10.3,3.6
"ck_tile::kentry<2, ck_tile::MoeSortingKernel<ck_tile::MoeSortingProblemEx<int, f",2356,18980,8.1,2.8
"aiter::grouped_topk_kernel<float, float __vector(4), 1, true, true, false>(float",2542,17428,6.9,2.6
_ZN5aiter45reshape_and_cache_with_per_token_quant_kernelIDF16bDB8_fLb1ELi64EEEvP,2542,15158,6.0,2.3
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_1,2542,14871,5.9,2.2
"aiter::kn_entry_2c_sbhd_cached_indirect_inplace<aiter::OpCachedFwd, 0, true, fal",2542,14664,5.8,2.2
triton_poi_fused__to_copy_0,2542,14652,5.8,2.2
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_2,2542,14445,5.7,2.1
aiter::fmha_fwd_hd128_bf16_causal_group,186,7462,40.1,1.1
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x512_MI16x16x1_SN_LDSB1_AFC0,33,6134,185.9,0.9
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT32x32x256_MI16x16x1_SN_LDSB1_AFC0_AF,186,3947,21.2,0.6
"aiter::mix_sample_outer_exponential_kernel<std::bfloat16_t, 1024, 64, 4, true>(s",42,2127,50.6,0.3
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x256_MI16x16x1_SN_LDSB1_AFC0,8,1530,191.2,0.2
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingPr",186,1442,7.8,0.2
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P0_v2<ck_tile::MoeSorting",186,1143,6.1,0.2
triton_poi_fused_embedding_0,41,232,5.7,0.0
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, false",41,231,5.6,0.0
__amd_rocclr_copyBuffer,38,211,5.6,0.0
kv_indices_generate_kernel,38,189,5.0,0.0
"at::native::_scatter_gather_elementwise_kernel<256, 4, at::native::_cuda_scatter",35,159,4.5,0.0
"at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl",3,19,6.3,0.0
"at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::na",3,19,6.3,0.0
"at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, ",3,18,6.0,0.0
